0	0.05	joy grief i'll mine pain worn holiday birds choose glad long called precisely thought thief quick tear law reportless line 
1	0.05	eyes knew paradise fine deem till clock ceased quiet ajar justified struck daffodils decide wrecked sum mansion gaze dissembling pendulum 
2	0.05	it's spirit white snow light house dust hand seldom dead remembrance clay forbid enacted residence tragedy friend arc tone long 
3	0.05	twas day looked slow night drew recollect told equally years remembered made blank twas'nt shone hindered nought extent lead chill 
4	0.05	bird single thee mortal bee music bumble fair play humming star sue tune dew lip plush cup eye cease fast 
5	0.05	power make wild day stir woods delight reply april daisy die foe simple fact push stirs gate port sovreign grass 
6	0.05	face things life's light children transport open passed silence held rooms dying awful leisure story tomb wall ocean ears dread 
7	0.05	fly lie chance eternity brooks consciousness reply moment food save twill abyss final tooth beloved distinct hint palate capacity starved 
8	0.05	it's i'm past time single half rest place end i've circumference small stem fundamental queen manner suit lo experiment silent 
9	0.05	sea bird brook ground knowing wind rose found feathers fair delight realm invisible lone utmost arctic stirred diamond gale confidence 
10	0.05	opon morn common remain purple back winds silver finer floods feels transport lid scarce foot extasy descend naked dawn hat 
11	0.05	door sun house run wont knew man hour afternoon gown news shut grass waste barefoot tied rejoice poor body spotted 
12	0.05	door morning red day bring evening gold shook gay pray ill business stop leave purple docile fellow sir miles floor 
13	0.05	till birds wait sing bird blue stone care tune scene summer doubtless blossoms spring dumb gate blush brain green belief 
14	0.05	forget wear common dwell darkness affliction put dazzled skill firmament fashion book teach dower accustomed brow pearl weary everlasting wide 
15	0.05	heard anguish die death i've breath hurt made busy word words rich give imperial easier fainter satisfied drama horror nerve 
16	0.05	days air read thy wine letter eyes taste finished sentence happy left slow flowers fingers cared child boddice wished bear 
17	0.05	rose thought hear softly grew dear failed died nearer year century news ah spoke forehead sweet thunder precious chivalry divine 
18	0.05	face i'd crown chamber king rank half dropped meek court wear string thro delayed dress country i'll mine raised partake 
19	0.05	face show twas cool lives put eternity dead beloved frost life sort end warm hang grace size cross smaller noon 
20	0.05	life soul fame thing sight begun vitality night crumb short alive run die visit reason dwell plenty decay friend nay 
21	0.05	it's easy wo summer leaves perished late tis tune parties sufficient unconscious sign company book grave bubbled asleep free diadem 
22	0.05	eden smiling father men tears kinsmen dim heavenly coat guests denied belong preferred air started barefoot solid mansions wears creatures 
23	0.05	guess wilderness full o'er sake turn salute esteemed lily forfeit creature noon fair bee wings desert charge mortality pretty chief 
24	0.05	tree bear good apple merry emerald school everlasting brooms mistake call thread sunrise dollie susan recess fond view hunt sings 
25	0.05	till met find men times today universe mind thought sang opposite lifted wiser film accident perish behold hymn lift spring 
26	0.05	eye ear ah sweet word dull you'll secrets careless farther creatures teach amber lark free clad wherefore breast miss seam 
27	0.05	opon meet familiar warm wake seed dreams tree envy meat steady man figure closed experiment kernel presents miracle work born 
28	0.05	god renown return grown modest breakfast permission stranger surpasses plated angel mountain record bless anew found fresh mile inferred perceives 
29	0.05	world soul human lady men stands twas peter space stars bears departure foreign plea minor sepulchre guess won finished sword 
30	0.05	mind adversity tight hath shut prosperity flood reverse advance overtake date means slowly air tent revelation contrast period inspect farmer 
31	0.05	day sunset parting mountain hide red witness solemn twere witchcraft moment gay spurn experience sapphire answer grows seed bloom amber 
32	0.05	heaven nought size hell it's holds invited remembering remember adequate set estimate period dream consequence close circumference pit discovery wells 
33	0.05	face day sky blue die bold paradise moon shy bonnet purple due british dying courtesy stands fear hear visitor slipped 
34	0.05	night dawn suns boy step numb died etherial seasons hight content furthest merit fate sound sacrament dark interrupt chair children 
35	0.05	mind till dare heart full stand simple world start bosom divine village afraid largest state fell majesty steeples gods arrow 
36	0.05	morning stand friend hand laid feet hill journey ample land children lover maid lord desert cry waiting note play balls 
37	0.05	opon god hope made faces that's death pass easier suffering degree polar needle breath fictitious troth fair company lord despair 
38	0.05	till man day meet broad poverty taught riches gold power esteem gratitude pearl gem hands school girl simple deem names 
39	0.05	god love earth soul unknown things despair fame care moses walk creation superfluous action death doubtless boy leave doom life 
40	0.05	tis night late perfect dream reach eyes gave skill midnight sleep care hold prayer sigh heart sunrise broke surprise noticed 
41	0.05	death life live grave breath smile held easy general narrow surrender opposing privilege wolfe fought spirit draw doom slid die 
42	0.05	small hand morn acre trust twere stone sea fire woman wrinkled today held crescent holiday pebble their's docile mystery spot 
43	0.05	wind foot voice summer bird march trees buy houses sky unknown feel wise boot point people nights put elegy delights 
44	0.05	make leave true everlasting trust stop strong quick eternity seas borne road begins dying life fists dry infinite rain dont 
45	0.05	fear god mine day royal gold afraid crown hold significance speech freckled calvary divine man infinity continual melody garnet women 
46	0.05	sweet noon makes found minute gain breast daisy satin dot loves fleet spice meet idolatry toils clovers chant steal bravest 
47	0.05	nature men boys lonesome ground sight lost burned tale moment separate spicy air subjects distinguished natures abraham extinct october teeth 
48	0.05	life human till lived alive immortality great begun died morning blow impregnable subtle star enable lose branches sense confident distant 
49	0.05	home strove bone fit play day boy floor mouse make forgot pearls luxury seam afternoons cat tradition match dusty destiny 
50	0.05	heart makes tis news distance poor fair touch knew spare forests dead heavenly harm venture wind notice speech hoping shame 
51	0.05	thing bliss syllable hour joy act news escape twould weight instant's clutch instant scarcely gained fill doom indifferent return borrow 
52	0.05	tis gain fail infinite defeat earn possibility victory loss presence days man giants saved justify death's lesser presumed narrow endear 
53	0.05	faith there's bye presume measure eye people bells quiet bold gethsemane calvary block patient vail small periods wagon fail room 
54	0.05	thee thou thy sea art thine sweet hast heart love prove soft jesus i'll eternity mine forgot wert dost remember 
55	0.05	pain nearer pity misery lives feet meeting cool winter stands springs helped ghost developed infinite one's haunted taught regret faces 
56	0.05	fingers asked smile pearl miss prove tim soul faded sh'd earl hair quaint dimples affront trinket girl sudden tight spirit 
57	0.05	nature knew blame hour men told secret longing life's circumstance art message calm spider notice fact heavens burdock's perpetual abode 
58	0.05	mine hand house glass put eyes hold fingers waters back passed till hands fashioned door turned thirst years low ear 
59	0.05	eyes truth rest it's call cold beauty beggar sweet perish loneliness faithful forget long sheen perceive lad vain love dungeons 
60	0.05	nature's heaven earth tis forever grace hills coming turned equal frequently lit hue cloud town possibly brown hid yesterday oft 
61	0.05	dying eye winter present content birds friend door home question due pause fear bird tis land hurts frugal divinity attention 
62	0.05	light night sun dark noon years moon put skies face suffice life blaze glow rise long morn morning's solemn missing 
63	0.05	day angels gathered daffodil purple souls find lost creature homesick foreign shore departed endure fire boat revolution gallant saints stately 
64	0.05	grave soul word hours stay saved drums dead ear sound tomb softly living breath escape doors goblin stretch gentle left 
65	0.05	round make sky home fair face wore grow paradise timid superior high person possibly pass saints eyes mother fairer pride 
66	0.05	father nest son robin death find heaven ashamed boy history early child bliss build demand christ rest secret shunned supreme 
67	0.05	guest service stranger sudden host long lift immortal sleep interview firmament lips decay shining nay lady nature depart bounty pink 
68	0.05	heaven earth place opon small bird seek time fly true grant climb make your's star larger tho home south glory 
69	0.05	good night bird bee jay straight tired break bough clover white ah w'd takes line train confident bold march noise 
70	0.05	lost eye sir angels golden flower world lord shut high behold bliss grand man make turns i'd touch found cross 
71	0.05	doth hath nature time god twas love crowd storm plank built science universe scant firm deity alas effort mighty solitary 
72	0.05	bells time give loved happy ring bore triumph people years clear vision voice centuries species throng feels heart daisy supposed 
73	0.05	mighty water live die birds march arm hat make lightly close inference touch slow drink sake flesh i'm shadows occupied 
74	0.05	nature yellow time air feel great streets silence grown awe stole notice stood covert eclipse fog spirit narrow pain labor 
75	0.05	immortality today thing man instant yesterday death sight limit honor one's gathered fill delight rises excellence extatic leaning plucking fruit 
76	0.05	summer sun flowers noon bloom dew frost flower day tune forehead june wood garden unknown orchards seasons passing prefer late 
77	0.05	find vain empty katie simple back gains grows bore treason mind runs east awe bride thyself road sweeter realm soft 
78	0.05	told secret twas shame solitude sudden balm opon buried gold pace hill sun crouch stood volcano billows statement firmaments shrewd 
79	0.05	love show year till bore snow ago left back daisies doubt grave fall sow garden centuries vest count green fine 
80	0.05	it's heart head bed face narrow ecstasy pools wait peninsula dear pillow slow judgment push whatsoever caught certainty posture could'st 
81	0.05	sky lightning put birds tree begun grass mind nature's drop fell cloud difference held abroad flung dust trees glee rain 
82	0.05	sun west opon east stars setting noon tis diviner paradise rest color infinite ho twilight uncertain lets abroad pilot iodine 
83	0.05	thought brain fit stay sound purple ease ear north names closer smaller departed room giant dead angle chimney sign neighbor 
84	0.05	it's forgot knew fled our's patience stolid sum laid existence surrendered constancy dews belief mute condition track fan seeking growth 
85	0.05	it's soul opon glory delight choose sight love pleasure drop memory set estate does'nt dropped electric triumphant body finest pain 
86	0.05	made house lie hair gown butterfly pass there's june exist change bog cocoon hoped air recollect despise suspect cut meadows 
87	0.05	lay work put life force dust price laurel single awful tenderer state renown tree vail dead compare gifts fame dropt 
88	0.05	man town countenance memory brave flee inn air worm road concern leads traveller claw blood round expectation light you're wily 
89	0.05	heard sea easy frost flower time till woe back shelf wheel side odd sailor tide steal hated drop wise begun 
90	0.05	opon place day sea feet peace past sunrise rose sweet close morning street midnight called afterward mighty ample bud drop 
91	0.05	side hill hills skies window rose opon it's bird deeper pane squirrel fly black thick feather plain reached fence berry 
92	0.05	opon feet touched low thro home fingers felt spring curious road passed figure windows lay hungry balm i'm cheek stood 
93	0.05	felt sun opon die feet steel gay bear stooping ages contented deep met grew measuring sickness safe martial trouble dropped 
94	0.05	day long play room hear bright tongue light half morning head tomorrow held sleep silver ourself liberty return high lips 
95	0.05	heaven i'm grace god home church long robins bobolink wings sabbath sings glory deity definition sigh afternoon small surplice staying 
96	0.05	bees grace butterflies bright summer child lies winds tint purple loss grass summer's flower afternoon south azure blossom obtain beautiful 
97	0.05	time dont wind prove snow turn hay left feel heard haply days nay praise obtained trouble dead blew find trudging 
98	0.05	bee flower it's summer butterfly abroad summer's blossom shorter doth ride rose breeze career opon emerald honey men bubble velvet 
99	0.05	soul death men die live jesus faith dust privilege suspense today learn conviction loving dwell fire features condemned mountains friend 
